"site_code","siteid","assetnum","asset_group","asset_desc","machine_loading","part_num","oper_num","asset_net_avail_time","ideal_cycle_time","fw","fy","fiscal_wk_begin","fiscal_wk_end","qty_claimed","qty_noncf","down_time_min"
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,40,"2,016",2016-10-03 00:00:00,2016-10-09 00:00:00,"2,725",84,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,40,"2,016",2016-10-03 00:00:00,2016-10-09 00:00:00,"2,046",1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,6,"2,016",2016-02-08 00:00:00,2016-02-14 00:00:00,"2,242",6,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,6,"2,016",2016-02-08 00:00:00,2016-02-14 00:00:00,943,1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,51,"2,016",2016-12-19 00:00:00,2016-12-25 00:00:00,702,0,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,14,"2,016",2016-04-04 00:00:00,2016-04-10 00:00:00,"1,291",4,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,11,"2,016",2016-03-14 00:00:00,2016-03-20 00:00:00,"1,491",2,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,16,"2,016",2016-04-18 00:00:00,2016-04-24 00:00:00,"1,489",1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,11,"2,016",2016-03-14 00:00:00,2016-03-20 00:00:00,"1,017",18,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,14,"2,016",2016-04-04 00:00:00,2016-04-10 00:00:00,"2,538",0,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,16,"2,016",2016-04-18 00:00:00,2016-04-24 00:00:00,"2,005",0,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,33,"2,016",2016-08-15 00:00:00,2016-08-21 00:00:00,"2,142",0,58
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,33,"2,016",2016-08-15 00:00:00,2016-08-21 00:00:00,"2,379",30,58
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,37,"2,016",2016-09-12 00:00:00,2016-09-18 00:00:00,"2,399",2,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,37,"2,016",2016-09-12 00:00:00,2016-09-18 00:00:00,"1,843",1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,13,"2,016",2016-03-28 00:00:00,2016-04-03 00:00:00,584,1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,49,"2,016",2016-12-05 00:00:00,2016-12-11 00:00:00,"1,443",1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,49,"2,016",2016-12-05 00:00:00,2016-12-11 00:00:00,1,0,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,13,"2,016",2016-03-28 00:00:00,2016-04-03 00:00:00,"1,880",1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,15,"2,016",2016-04-11 00:00:00,2016-04-17 00:00:00,"2,102",20,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,45,"2,016",2016-11-07 00:00:00,2016-11-13 00:00:00,145,3,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,45,"2,016",2016-11-07 00:00:00,2016-11-13 00:00:00,"2,003",6,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,15,"2,016",2016-04-11 00:00:00,2016-04-17 00:00:00,"1,232",6,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,5,"2,016",2016-02-01 00:00:00,2016-02-07 00:00:00,"2,333",10,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.6,"2403M91P04","35",,2,5,"2,016",2016-02-01 00:00:00,2016-02-07 00:00:00,"1,567",9,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,41,"2,016",2016-10-10 00:00:00,2016-10-16 00:00:00,"2,086",1,0
GNV,GNSC,GN900036,Group_2,Winbro Laser,0.4,"2100M96P05","50",,3,50,"2,016",2016-12-12 00:00:00,2016-12-18 00:00:00,"1,133",2,0
